Title,Address,Building Info,Transport 1,Transport 2,Transport 3,Floor,Rent,Administration Fee,Deposit,Gratuity,Layout,Size,Detail URL
東京メトロ半蔵門線 半蔵門駅 13階建 築8年,東京都千代田区隼町,"築8年
13階建",東京メトロ半蔵門線/半蔵門駅 歩2分,東京メトロ有楽町線/麹町駅 歩7分,東京メトロ南北線/永田町駅 歩8分,8階,27.3万円,10000円,27.3万円,-,1SLDK,54.15m2,/chintai/jnc_000082180580/?bc=100345726550
東京メトロ半蔵門線 半蔵門駅 13階建 築8年,東京都千代田区隼町,"築8年
13階建",東京メトロ半蔵門線/半蔵門駅 歩2分,東京メトロ有楽町線/麹町駅 歩7分,東京メトロ南北線/永田町駅 歩8分,11階,28万円,10000円,28万円,28万円,1SLDK,54.15m2,/chintai/jnc_000082180580/?bc=100345726550
東京メトロ半蔵門線 半蔵門駅 13階建 築8年,東京都千代田区隼町,"築8年
13階建",東京メトロ半蔵門線/半蔵門駅 歩2分,東京メトロ有楽町線/麹町駅 歩7分,東京メトロ南北線/永田町駅 歩8分,2階,31.3万円,10500円,-,31.3万円,1LDK,54.15m2,/chintai/jnc_000082180580/?bc=100345726550
東京メトロ半蔵門線 半蔵門駅 13階建 築8年,東京都千代田区隼町,"築8年
13階建",東京メトロ半蔵門線/半蔵門駅 歩2分,東京メトロ有楽町線/麹町駅 歩7分,東京メトロ南北線/永田町駅 歩8分,5階,32万円,10500円,-,32万円,1LDK,54.15m2,/chintai/jnc_000082180580/?bc=100345726550
東京メトロ半蔵門線 半蔵門駅 13階建 築8年,東京都千代田区隼町,"築8年
13階建",東京メトロ半蔵門線/半蔵門駅 歩2分,東京メトロ有楽町線/麹町駅 歩7分,東京メトロ南北線/永田町駅 歩8分,6階,32.1万円,10500円,-,32.1万円,1SLDK,54.15m2,/chintai/jnc_000082180580/?bc=100345726550
東京メトロ半蔵門線 半蔵門駅 地下1地上6階建 築37年,東京都千代田区一番町,"築37年
地下1地上6階建",東京メトロ半蔵門線/半蔵門駅 歩3分,東京メトロ有楽町線/麹町駅 歩6分,ＪＲ中央線/市ケ谷駅 歩14分,5階,14.6万円,10000円,14.6万円,14.6万円,1DK,44.51m2,/chintai/jnc_000079554066/?bc=100340615805
ジオ一番町,東京都千代田区一番町,"築2年
11階建",東京メトロ半蔵門線/半蔵門駅 歩2分,東京メトロ有楽町線/麹町駅 歩7分,東京メトロ南北線/市ケ谷駅 歩8分,6階,28.2万円,12000円,28.2万円,28.2万円,1LDK,45.57m2,/chintai/jnc_000076890903/?bc=100300244107
GOLD FOREST　半蔵門,東京都千代田区麹町２,"築2年
14階建",東京メトロ半蔵門線/半蔵門駅 歩2分,東京メトロ有楽町線/麹町駅 歩4分,東京メトロ銀座線/赤坂見附駅 歩14分,5階,30.5万円,16000円,-,30.5万円,1LDK,65.34m2,/chintai/jnc_000086220863/?bc=100352414017
プレシス半蔵門,東京都千代田区麹町１,"築11年
13階建",東京メトロ半蔵門線/半蔵門駅 歩1分,東京メトロ有楽町線/麹町駅 歩7分,東京メトロ有楽町線/永田町駅 歩10分,7階,24.3万円,12000円,48.6万円,24.3万円,1LDK,51.42m2,/chintai/jnc_000063013243/?bc=100354638939
東京メトロ半蔵門線 半蔵門駅 13階建 築11年,東京都千代田区麹町１,"築11年
13階建",東京メトロ半蔵門線/半蔵門駅 歩1分,東京メトロ有楽町線/麹町駅 歩5分,,7階,24.3万円,12000円,48.6万円,24.3万円,1LDK,51.42m2,/chintai/jnc_000063076023/?bc=100355866050
パークハウス平河町,東京都千代田区平河町１,"築17年
14階建",東京メトロ半蔵門線/半蔵門駅 歩4分,東京メトロ有楽町線/永田町駅 歩6分,東京メトロ丸ノ内線/赤坂見附駅 歩10分,4階,19万円,10000円,19万円,19万円,1LDK,39.57m2,/chintai/jnc_000085937619/?bc=100355228149
ＫＷレジデンス麹町,東京都千代田区麹町３,"築19年
地下1地上15階建",東京メトロ半蔵門線/半蔵門駅 歩4分,東京メトロ有楽町線/麹町駅 歩4分,,5階,22.9万円,20000円,22.9万円,-,1LDK,50.56m2,/chintai/jnc_000085688688/?bc=100355588164
ＣＯＮＯＥ一番町,東京都千代田区一番町,"築12年
10階建",東京メトロ半蔵門線/半蔵門駅 歩4分,東京メトロ有楽町線/麹町駅 歩4分,ＪＲ中央線/市ケ谷駅 歩11分,9階,23万円,-,46万円,23万円,1LDK,40.65m2,/chintai/jnc_000080257258/?bc=100315781743
ザ・パークハウス麹町レジデンス,東京都千代田区麹町３,"新築
15階建",東京メトロ有楽町線/麹町駅 歩4分,東京メトロ半蔵門線/半蔵門駅 歩5分,ＪＲ中央線/四ツ谷駅 歩11分,4階,19.8万円,-,19.8万円,19.8万円,1DK,32.53m2,/chintai/jnc_000086215270/?bc=100335490291
ザ・パークハウス麹町レジデンス,東京都千代田区麹町３,"新築
15階建",東京メトロ有楽町線/麹町駅 歩4分,東京メトロ半蔵門線/半蔵門駅 歩5分,ＪＲ中央線/四ツ谷駅 歩11分,9階,20万円,20000円,20万円,-,1DK,32.53m2,/chintai/jnc_000086215270/?bc=100335490291
ザ・パークハウス麹町レジデンス,東京都千代田区麹町３,"新築
15階建",東京メトロ有楽町線/麹町駅 歩4分,東京メトロ半蔵門線/半蔵門駅 歩5分,ＪＲ中央線/四ツ谷駅 歩11分,7階,22.5万円,-,22.5万円,22.5万円,1DK,32.53m2,/chintai/jnc_000086215270/?bc=100335490291
ザ・パークハウス麹町レジデンス,東京都千代田区麹町３,"新築
15階建",東京メトロ有楽町線/麹町駅 歩4分,東京メトロ半蔵門線/半蔵門駅 歩5分,ＪＲ中央線/四ツ谷駅 歩11分,3階,25万円,10000円,25万円,25万円,1LDK,41.9m2,/chintai/jnc_000086215270/?bc=100335490291
ザ・パークハウス麹町レジデンス,東京都千代田区麹町３,"新築
15階建",東京メトロ有楽町線/麹町駅 歩4分,東京メトロ半蔵門線/半蔵門駅 歩5分,ＪＲ中央線/四ツ谷駅 歩11分,3階,25万円,10000円,25万円,25万円,1LDK,41.9m2,/chintai/jnc_000086215270/?bc=100335490291
ザ・パークハウス麹町レジデンス,東京都千代田区麹町３,"新築
15階建",東京メトロ有楽町線/麹町駅 歩4分,東京メトロ半蔵門線/半蔵門駅 歩5分,ＪＲ中央線/四ツ谷駅 歩11分,3階,25万円,10000円,25万円,25万円,1LDK,41.9m2,/chintai/jnc_000086215270/?bc=100335490291
ザ・パークハウス麹町レジデンス,東京都千代田区麹町３,"新築
15階建",東京メトロ有楽町線/麹町駅 歩4分,東京メトロ半蔵門線/半蔵門駅 歩5分,ＪＲ中央線/四ツ谷駅 歩11分,5階,28.5万円,-,28.5万円,28.5万円,1LDK,41.9m2,/chintai/jnc_000086215270/?bc=100335490291
ザ・パークハウス麹町レジデンス,東京都千代田区麹町３,"新築
15階建",東京メトロ有楽町線/麹町駅 歩4分,東京メトロ半蔵門線/半蔵門駅 歩5分,ＪＲ中央線/四ツ谷駅 歩11分,8階,30.5万円,20000円,61万円,30.5万円,1LDK,51.75m2,/chintai/jnc_000086215270/?bc=100335490291
ザ・パークハウス麹町レジデンス,東京都千代田区麹町３,"新築
15階建",東京メトロ有楽町線/麹町駅 歩4分,東京メトロ半蔵門線/半蔵門駅 歩5分,ＪＲ中央線/四ツ谷駅 歩11分,11階,31万円,20000円,62万円,31万円,1LDK,51.75m2,/chintai/jnc_000086215270/?bc=100335490291
ザ・パークハウス麹町レジデンス,東京都千代田区麹町３,"新築
15階建",東京メトロ有楽町線/麹町駅 歩4分,東京メトロ半蔵門線/半蔵門駅 歩5分,ＪＲ中央線/四ツ谷駅 歩11分,11階,31万円,20000円,62万円,31万円,1LDK,51.75m2,/chintai/jnc_000086215270/?bc=100335490291
ザ・パークハウス麹町レジデンス,東京都千代田区麹町３,"新築
15階建",東京メトロ有楽町線/麹町駅 歩4分,東京メトロ半蔵門線/半蔵門駅 歩5分,ＪＲ中央線/四ツ谷駅 歩11分,12階,31.5万円,20000円,63万円,31.5万円,1LDK,51.75m2,/chintai/jnc_000086215270/?bc=100335490291
